UF_ATENDIMENTO;TIPO;CLASSIFICACAO;NACIONALIDADE;TOTAL
AL;SAIDA;OUTROS;REINO UNIDO;1
AL;SAIDA;OUTROS;ESPANHA;3
AL;SAIDA;OUTROS;ESTADOS UNIDOS;1
AL;SAIDA;OUTROS;ITÁLIA;7
AL;SAIDA;OUTROS;PORTUGAL;6
AL;SAIDA;OUTROS;REINO UNIDO;2
AL;SAIDA;OUTROS;SUÍÇA;4
AL;SAIDA;OUTROS;BRASIL;538
AM;ENTRADA;PERMANENTE;ALEMANHA;4
AM;ENTRADA;PERMANENTE;ARGENTINA;6
AM;ENTRADA;PERMANENTE;CABO VERDE;1
AM;ENTRADA;PERMANENTE;CANADÁ;2
AM;ENTRADA;PERMANENTE;CHILE;1
AM;ENTRADA;PERMANENTE;COLÔMBIA;296
AM;ENTRADA;PERMANENTE;CORÉIA DO SUL;6
AM;ENTRADA;PERMANENTE;COSTA RICA;1
AM;ENTRADA;PERMANENTE;CUBA;26
AM;ENTRADA;PERMANENTE;DINAMARCA;1
AM;ENTRADA;PERMANENTE;EGITO;1
AM;ENTRADA;PERMANENTE;EL SALVADOR;2
AM;ENTRADA;PERMANENTE;EQUADOR;6
AM;ENTRADA;PERMANENTE;ESPANHA;6
AM;ENTRADA;PERMANENTE;ESTADOS UNIDOS;37
AM;ENTRADA;PERMANENTE;FILIPINAS;1
AM;ENTRADA;PERMANENTE;FRANÇA;2
AM;ENTRADA;PERMANENTE;ISRAEL;1
AM;ENTRADA;PERMANENTE;ITÁLIA;2
AM;ENTRADA;PERMANENTE;JAPÃO;20
AM;ENTRADA;PERMANENTE;MÉXICO;15
AM;ENTRADA;PERMANENTE;PANAMÁ;1
AM;ENTRADA;PERMANENTE;PAÍSES BAIXOS;2
AM;ENTRADA;PERMANENTE;PERU;79
AM;ENTRADA;PERMANENTE;PORTUGAL;11
AM;ENTRADA;PERMANENTE;REINO UNIDO;2
AM;ENTRADA;PERMANENTE;SINGAPURA;1
AM;ENTRADA;PERMANENTE;SUÉCIA;1
AM;ENTRADA;PERMANENTE;SUÍÇA;1
AM;ENTRADA;PERMANENTE;URUGUAI;2
AM;ENTRADA;PERMANENTE;VENEZUELA;43
AM;ENTRADA;PERMANENTE;ÍNDIA;4
AM;ENTRADA;VISITANTE;ALEMANHA;97
AM;ENTRADA;VISITANTE;ARGENTINA;17
AM;ENTRADA;VISITANTE;AUSTRÁLIA;7
AM;ENTRADA;VISITANTE;BOLÍVIA;2
AM;ENTRADA;VISITANTE;BULGÁRIA;2
AM;ENTRADA;VISITANTE;BÉLGICA;18
AM;ENTRADA;VISITANTE;CANADÁ;41
AM;ENTRADA;VISITANTE;CAZAQUISTÃO;1
AM;ENTRADA;VISITANTE;CHILE;5
AM;ENTRADA;VISITANTE;CHINA;9
AM;ENTRADA;VISITANTE;COLÔMBIA;539
AM;ENTRADA;VISITANTE;CORÉIA DO SUL;6
AM;ENTRADA;VISITANTE;COSTA RICA;8
AM;ENTRADA;VISITANTE;CROÁCIA;4
AM;ENTRADA;VISITANTE;CUBA;2
AM;ENTRADA;VISITANTE;DINAMARCA;11
AM;ENTRADA;VISITANTE;EQUADOR;10
AM;ENTRADA;VISITANTE;ESPANHA;31
AM;ENTRADA;VISITANTE;ESTADOS UNIDOS;823
AM;ENTRADA;VISITANTE;ESTÔNIA;1
AM;ENTRADA;VISITANTE;FINLÂNDIA;5
AM;ENTRADA;VISITANTE;FRANÇA;127
AM;ENTRADA;VISITANTE;GRÉCIA;4
AM;ENTRADA;VISITANTE;GUATEMALA;3
AM;ENTRADA;VISITANTE;GUIANA;1
AM;ENTRADA;VISITANTE;HONDURAS;5
AM;ENTRADA;VISITANTE;HONG KONG (R.A.E.);1
AM;ENTRADA;VISITANTE;HUNGRIA;2
AM;ENTRADA;VISITANTE;IRLANDA;7
AM;ENTRADA;VISITANTE;ISLÂNDIA;1
AM;ENTRADA;VISITANTE;ISRAEL;9
AM;ENTRADA;VISITANTE;ITÁLIA;46
AM;ENTRADA;VISITANTE;JAPÃO;8
AM;ENTRADA;VISITANTE;LITUÂNIA;1
AM;ENTRADA;VISITANTE;MALTA;1
AM;ENTRADA;VISITANTE;MALÁSIA;1
AM;ENTRADA;VISITANTE;MARROCOS;2
AM;ENTRADA;VISITANTE;MÉXICO;30
AM;ENTRADA;VISITANTE;NORUEGA;5
AM;ENTRADA;VISITANTE;NOVA ZELÂNDIA;2
AM;ENTRADA;VISITANTE;PANAMÁ;9
AM;ENTRADA;VISITANTE;PAÍSES BAIXOS;31
AM;ENTRADA;VISITANTE;PERU;257
AM;ENTRADA;VISITANTE;POLÔNIA;16
AM;ENTRADA;VISITANTE;PORTUGAL;40
AM;ENTRADA;VISITANTE;REINO UNIDO;73
AM;ENTRADA;VISITANTE;REPÚBLICA DOMINICANA;3
AM;ENTRADA;VISITANTE;REPÚBLICA TCHECA;5
